"iteration","value","iteration_num","metric","tweedie_variance_power","hyper_param_label"
"Test Set 9",5458769.5,9,"mse",1.95,"tweedie_variance_power 1.95"
"Test Set 9",18383.777,9,"null_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 9",0.32827532,9,"r2",1.95,"tweedie_variance_power 1.95"
"Test Set 9",11169.891,9,"residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 9",2336.401,9,"rmse",1.95,"tweedie_variance_power 1.95"
"Test Set 9",0.6628635,9,"rmsle",1.95,"tweedie_variance_power 1.95"
"Test Set 10",1463.2794,10,"mae",1.95,"tweedie_variance_power 1.95"
"Test Set 10",0.60411376,10,"mean_residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 10",6050996,10,"mse",1.95,"tweedie_variance_power 1.95"
"Test Set 10",18818.178,10,"null_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 10",0.3148482,10,"r2",1.95,"tweedie_variance_power 1.95"
"Test Set 10",11402.043,10,"residual_deviance",1.95,"tweedie_variance_power 1.95"
"Test Set 10",2459.8772,10,"rmse",1.95,"tweedie_variance_power 1.95"
"Test Set 10",0.67143023,10,"rmsle",1.95,"tweedie_variance_power 1.95"
"Test Set 1",1418.7325,1,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 1",0.8525289,1,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 1",5096743,1,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 1",27246.49,1,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 1",0.36360493,1,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 1",15912.453,1,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 1",2257.5967,1,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 1",0.6623228,1,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 2",1437.6151,2,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 2",0.84898716,2,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 2",5256954.5,2,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 2",27318.562,2,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 2",0.36308953,2,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 2",15924.452,2,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 2",2292.805,2,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 2",0.65703946,2,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 3",1415.8416,3,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 3",0.8571778,3,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 3",4859466,3,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 3",27137.836,3,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 3",0.3678886,3,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 3",16067.798,3,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 3",2204.4197,3,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 3",0.66464406,3,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 4",1420.0883,4,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 4",0.8414852,4,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 4",5229196,4,"mse",1.9,"tweedie_variance_power 1.9"
"Test Set 4",27452.537,4,"null_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 4",0.37051427,4,"r2",1.9,"tweedie_variance_power 1.9"
"Test Set 4",15798.885,4,"residual_deviance",1.9,"tweedie_variance_power 1.9"
"Test Set 4",2286.7434,4,"rmse",1.9,"tweedie_variance_power 1.9"
"Test Set 4",0.6575446,4,"rmsle",1.9,"tweedie_variance_power 1.9"
"Test Set 5",1433.3127,5,"mae",1.9,"tweedie_variance_power 1.9"
"Test Set 5",0.86638117,5,"mean_residual_deviance",1.9,"tweedie_variance_power 1.9"
