"iteration","value","iteration_num","metric","alpha","lambda","hyper_param_label"
"Test Set 8",0.47916678,8,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",305097.22,8,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",2015.2183,8,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 8",0.6018154,8,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",1300.9272,9,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",16.731075,9,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",5219667,9,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",671020.94,9,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",0.433223,9,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",314192.84,9,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",2284.6592,9,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 9",0.60221416,9,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 10",1292.6061,10,"mae",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 10",16.341661,10,"mean_residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 10",4524195.5,10,"mse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 10",680460,10,"null_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 10",0.4700224,10,"r2",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 10",311096.22,10,"residual_deviance",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 10",2127.0156,10,"rmse",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 10",0.6058252,10,"rmsle",1,0.00001,"alpha 1, lambda 0.00001"
"Test Set 1",1325.6348,1,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 1",17.203411,1,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 1",4995223.5,1,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 1",663764.6,1,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 1",0.42525506,1,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 1",323131.66,1,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 1",2234.9998,1,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 1",0.6149597,1,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 2",1324.5657,2,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 2",17.106728,2,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 2",4727760.5,2,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 2",663965.75,2,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 2",0.44417614,2,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 2",321230.16,2,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 2",2174.3416,2,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 2",0.6133718,2,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 3",1315.3798,3,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 3",17.055466,3,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 3",4301777,3,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 3",663148.9,3,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 3",0.4625471,3,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 3",321802.5,3,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 3",2074.0725,3,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 3",0.6175616,3,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 4",1329.6305,4,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 4",17.235033,4,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 4",4965566.5,4,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 4",669129.75,4,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 4",0.43214062,4,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 4",323811.8,4,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 4",2228.355,4,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 4",0.61291033,4,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 5",1332.6237,5,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 5",17.380413,5,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 5",5010623,5,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 5",682878.75,5,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 5",0.43847257,5,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 5",329150.25,5,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 5",2238.4421,5,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 5",0.6127343,5,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 6",1323.601,6,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 6",17.104939,6,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 6",4790238,6,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 6",665563.75,6,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 6",0.4422783,6,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 6",322171.5,6,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 6",2188.6611,6,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 6",0.61016655,6,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 7",1310.7345,7,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 7",16.893839,7,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 7",4150216.2,7,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 7",640589,7,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 7",0.45941433,7,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 7",313938.2,7,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 7",2037.2079,7,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 7",0.6163116,7,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 8",1311.1143,8,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 8",16.998308,8,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 8",4442597,8,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 8",660959.56,8,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 8",0.45732993,8,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 8",317341.4,8,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 8",2107.7468,8,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 8",0.61834,8,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 9",1322.1661,9,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 9",17.269476,9,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 9",4644832.5,9,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 9",672726.9,9,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 9",0.44400746,9,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 9",328707.2,9,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 9",2155.1873,9,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 9",0.6181469,9,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 10",1314.8047,10,"mae",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 10",17.12024,10,"mean_residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 10",4893730.5,10,"mse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 10",671594.3,10,"null_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 10",0.43359005,10,"r2",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 10",326003.62,10,"residual_deviance",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 10",2212.1777,10,"rmse",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 10",0.6168441,10,"rmsle",1,0.00005,"alpha 1, lambda 0.00005"
"Test Set 1",1348.3326,1,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 1",17.9594,1,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 1",5616919.5,1,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 1",659672.5,1,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 1",0.38300762,1,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 1",335499.56,1,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 1",2370.0042,1,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 1",0.6243002,1,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 2",1354.3986,2,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 2",18.101055,2,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 2",4951371,2,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 2",660332.2,2,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 2",0.41557372,2,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 2",336860.62,2,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 2",2225.1677,2,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 2",0.6336084,2,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 3",1365.438,3,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 3",18.296223,3,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 3",5016379.5,3,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 3",676518.3,3,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 3",0.41330922,3,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 3",345249.72,3,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 3",2239.7275,3,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 3",0.6288373,3,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 4",1351.3693,4,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 4",17.712011,4,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 4",4644311,4,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 4",664340.6,4,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 4",0.43375984,4,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 4",334898.72,4,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 4",2155.0664,4,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 4",0.63103664,4,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 5",1364.5748,5,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 5",17.97214,5,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 5",5636776,5,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 5",662701.06,5,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 5",0.38933155,5,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 5",335180.4,5,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 5",2374.1895,5,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 5",0.6246164,5,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 6",1358.8448,6,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 6",18.013857,6,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 6",4882137.5,6,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 6",668605.9,6,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 6",0.4205287,6,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 6",341398.6,6,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 6",2209.556,6,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 6",0.6296668,6,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 7",1348.5922,7,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 7",17.793985,7,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 7",4657411.5,7,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 7",671848.75,7,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 7",0.43424523,7,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 7",337142.62,7,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 7",2158.1035,7,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 7",0.6306933,7,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 8",1350.3987,8,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 8",17.839294,8,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 8",4536786,8,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 8",661660.94,8,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 8",0.43218416,8,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 8",336752.38,8,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 8",2129.9731,8,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 8",0.6275103,8,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 9",1343.2443,9,"mae",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 9",17.645082,9,"mean_residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 9",4684991.5,9,"mse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 9",668888.4,9,"null_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 9",0.42998302,9,"r2",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 9",334727.22,9,"residual_deviance",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 9",2164.4841,9,"rmse",1,0.0001,"alpha 1, lambda 0.0001"
"Test Set 9",0.621782,9,"rmsle",1,0.0001,"alpha 1, lambda 0.0001"
